type,name,value,unit,error,min,max,frozen,is_norm,link,prior,physical_value
,log10_k,-5.0135e+00,,nan,-1.000e+01,1.000e+01,False,False,,,9.693377855770392e-06
,p1,4.1420e+00,,nan,1.000e+00,5.000e+00,False,False,,,4.142013634263309
,p2,3.7663e+00,,3.134e+00,1.000e+00,5.000e+00,False,False,,,3.7663438562296707
,log10_gamma_b,5.6246e+00,,nan,2.000e+00,6.000e+00,False,False,,,421328.90801434166
,log10_gamma_min,1.0000e+00,,0.000e+00,0.000e+00,4.000e+00,True,False,,,10.0
,log10_gamma_max,4.9542e+00,,0.000e+00,4.000e+00,8.000e+00,True,False,,,90000.00000000007
,z,6.8200e-01,,0.000e+00,1.000e-03,1.000e+01,True,False,,,0.682
,delta_D,1.0553e+00,,6.268e-04,1.000e+00,1.000e+02,False,False,,,1.0552873690812898
,log10_B,-2.6855e+00,,2.302e-03,-4.000e+00,2.000e+00,False,False,,,0.0020628746921152546
,t_var,3.2400e+04,s,0.000e+00,1.000e+01,3.142e+07,True,False,,,32400.000000000004
,mu_s,9.9904e-01,,0.000e+00,0.000e+00,1.000e+00,True,False,,,0.9990400249795027
,log10_r,1.8000e+01,,0.000e+00,1.600e+01,2.200e+01,True,False,,,1e+18
,log10_L_disk,4.6301e+01,,0.000e+00,4.200e+01,4.800e+01,True,False,,,2.0000000000000002e+46
,M_BH,7.9536e+41,g,0.000e+00,1.000e+32,1.000e+45,True,False,,,7.953639482792203e+41
,m_dot,2.6704e+26,g s-1,0.000e+00,1.000e+24,1.000e+30,True,False,,,2.6703612026731656e+26
,R_in,3.5439e+14,cm,0.000e+00,1.000e+12,1.000e+16,True,False,,,354390009132029.94
,R_out,5.9065e+16,cm,0.000e+00,1.000e+12,1.000e+19,True,False,,,5.9065001522005e+16
,xi_line,1.0000e-01,,0.000e+00,0.000e+00,1.000e+00,True,False,,,0.10000000000000002
,lambda_line,1.2157e+03,Angstrom,0.000e+00,9.000e+02,7.000e+03,True,False,,,1215.67
,R_line,4.4721e+17,cm,0.000e+00,1.000e+16,1.000e+18,True,False,,,4.4721359549995795e+17
,xi_dt,1.0000e-01,,0.000e+00,0.000e+00,1.000e+00,True,False,,,0.10000000000000002
,T_dt,1.0000e+03,K,0.000e+00,1.000e+02,1.000e+04,True,False,,,1000.0
,R_dt,1.1180e+19,cm,0.000e+00,1.000e+17,1.000e+20,True,False,,,1.1180339887498949e+19
,norm,1.0000e+00,,0.000e+00,1.000e-01,1.000e+01,True,True,,,1.0
